y,c,i,k,a_0
1.1735626883803003,0.7165308584607455,0.4569933149094447,9.019170538221024,1.010050167084168
1.1729278040025843,0.7165059038879495,0.4563893202538814,9.0246069105041,1.0095452682358568
1.1723298352540563,0.7164596174390412,0.4558427530733333,9.02922692028087,1.0090658481047399
1.1717664370287348,0.7163952164725258,0.45534815319550204,9.033122392409995,1.008610609861636
1.1712354300513688,0.7163155540136992,0.4549005795982265,9.036375892868277,1.0081783237652644
1.1707347878057375,0.7162231558831553,0.45449556104897704,9.039061596589814,1.0077678235867675
1.170262624595243,0.7161202542842525,0.45412905143751947,9.041246081255116,1.0073780032348607
1.1698171846299616,0.7160088181613032,0.45379738935552416,9.042989052128785,1.0070078135693974
1.1693968320448795,0.715890580617136,0.4534972615193237,9.044344002942173,1.006656259391981
1.169000041763459,0.7157670636563961,0.4532256696704138,9.045358817653385,1.0063223966030082
1.1686253911291191,0.7156396004996771,0.45297990062303695,9.046076317710565,1.0060053295152425
1.1682715522347706,0.7155093556934431,0.45275749915962415,9.046534759209296,1.0057042083146621
1.167937284887322,0.7153773432217713,0.4525562435033238,9.046768284083338,1.0054182266599416
1.1676214301501433,0.7152444428082507,0.4523741231225882,9.046807329208125,1.005146619412475
1.167322904411944,0.715111414579907,0.45220931864608804,9.046678997035453,1.0048886604893785
1.1670406939354168,0.7149789122497673,0.45206018368730533,9.046407391120216,1.0046436608323843
1.166773849843413,0.7148474949605933,0.4519252283972341,9.046013919650093,1.0044109664859877
1.1665214835043922,0.7147176379193347,0.45180310458088097,9.045517569848593,1.0041899567786279
1.1662827622824543,0.7145897419399482,0.4516925922288807,9.04493515589323,1.003980042601063
1.1660569056204966,0.714464142001305,0.45159258732967805,9.044281542774359,1.0037806647764662
1.165843181427936,0.714341114916933,0.4515020908405209,9.04356984831746,1.0035912925170998
1.1656409027470676,0.7142208862042209,0.45142019870708466,9.042811625401807,1.0034114219627372
1.165449424674491,0.7141036362324037,0.451346092832026,9.04201702623244,1.0032405747962974
1.165268141516188,0.713989505721086,0.4512790329022405,9.04119495035877,1.0030782969324217
1.165096484156754,0.713878600654176,0.451218348993181,9.040353177982453,1.0029241572749816
1.1649339176250526,0.7137709966678568,0.4511634348763527,9.039498489958012,1.0027777465397394
1.1647799388401332,0.713666742965549,0.4511137419631279,9.038636775762228,1.0026386761386077
1.1646340745226915,0.7135658658076702,0.45106877382437977,9.03777313059098,1.0025065771221597
1.164495879258654,0.7134683716193403,0.451028081231186,9.036911942635282,1.0023810991772337
1.164364933702638,0.7133742497549556,0.45099125766705966,9.03605697149022,1.002261909676663
1.1642408429101168,0.7132834749547341,0.45095793526687467,9.035211418561165,1.0021486927783243
1.1641232347880772,0.7131960095248759,0.450927781141916,9.034377990250228,1.0020411485708638
1.1640117586548486,0.7131118052698582,0.45090049405434207,9.033558954631783,1.0019389922636086
1.1639060839005708,0.7130308052025558,0.45087580140783723,9.032756192258455,1.001841953418305
1.1638058987405013,0.7129529450553278,0.45085345652439146,9.03197124167773,1.0017497752204692
1.1637109090540219,0.712878154612901,0.4508332361800024,9.031205340183716,1.0016622137882472
1.1636208373027983,0.7128063588858033,0.4508149383746814,9.030459460278106,1.0015790375168048
1.1635354215221057,0.7127374791412165,0.45079838031448594,9.029734342268656,1.0015000264563778
1.1634544143798171,0.7126714338064242,0.4507833965854198,9.029030523391983,1.0014249717222083
1.163377582298014,0.7126081392585005,0.45076983750095717,9.028348363809977,1.0013536749347027
1.1633047046325875,0.7125475105125051,0.45075756760668356,9.027688069795031,1.0012859476882217
1.1632355729065789,0.712489461819203,0.45074646432711485,9.02704971438862,1.001221611047016
1.1631699900933448,0.7124339071822136,0.4507364167411754,9.026433255789781,1.001160495066888
1.1631077699459553,0.7123807608034711,0.4507273244741038,9.025838553705002,1.0011024383412435
1.1630487363695134,0.7123299374649796,0.45071909669471477,9.025265383868135,1.0010472875702683
1.1629927228333476,0.7122813528540152,0.4507116512080016,9.024713450918455,1.0009948971520308
1.1629395718202693,0.7122349238381949,0.4507049136340129,9.024182399806339,1.0009451287943778
1.1628891343103063,0.7121905686961658,0.4506988166648016,9.023671825879298,1.000897851146548
1.1628412692965224,0.7121482073090637,0.4506932993920228,9.023181283785837,1.000852939449488
1.162795843330718,0.7121077613173586,0.45068830669846294,9.022710295321039,1.000810275203909
1.1627527300969727,0.7120691542472142,0.4506837887074224,9.022258356325265,1.0007697458551685
1.1627118100111484,0.7120323116100528,0.4506797002844504,9.021824942736332,1.0007312444941185
1.1626729698446114,0.711997160978626,0.4506760005864546,9.021409515885358,1.0006946695730972
1.1626361023705576,0.7119636320425377,0.4506726526536809,9.021011527117468,1.0006599246362897
1.162601106031451,0.7119316566458483,0.4506696230404883,9.020630421810226,1.000626918063726
1.1625678846261924,0.7119011688091043,0.4506668814812285,9.020265642855474,1.0005955628282135
1.1625363470157313,0.7118721047378814,0.4506644005878942,9.019916633663344,1.0005657762645501
1.1625064068459343,0.7118444028197012,0.45066215557651457,9.019582840741402,1.0005374798503865
1.1624779822866043,0.7118180036109699,0.45066012401956496,9.019263715896388,1.0005105989981484
1.162450995785621,0.7117928498154101,0.4506582856219171,9.018958718101132,1.000485062857453
1.1624253738372536,0.7117688862552828,0.45065662201809237,9.018667315064812,1.000460804127487
1.1624010467637507,0.711746059836554,0.4506551165887916,9.018388984540852,1.0004377588788402
1.1623779485093886,0.7117243195090237,0.45065375429486915,9.018123215403081,1.0004158663843155
1.1623560164462048,0.7117036162223159,0.4506525215270931,9.017869508517606,1.0003950689582572
